Company,Country,Patent (Raw),Patent (Cleaned),Ambiguous
"B1 Institute of Image Technology, INC.",CN,CN 114257809,CN114257809,False
"B1 Institute of Image Technology, INC.",CN,CN 114531585,CN114531585,False
"B1 Institute of Image Technology, INC.",CN,CN 114531587,CN114531587,False
"B1 Institute of Image Technology, INC.",CN,CN 114531589,CN114531589,False
"B1 Institute of Image Technology, INC.",CN,CN 114531591,CN114531591,False
"B1 Institute of Image Technology, INC.",CN,CN 114531593,CN114531593,False
"B1 Institute of Image Technology, INC.",CN,CN 114554202,CN114554202,False
"B1 Institute of Image Technology, INC.",CN,CN 115767106,CN115767106,False
"B1 Institute of Image Technology, INC.",CN,CN 115802058,CN115802058,False
"B1 Institute of Image Technology, INC.",CN,CN 115802059,CN115802059,False
"B1 Institute of Image Technology, INC.",CN,CN 115834909,CN115834909,False
"B1 Institute of Image Technology, INC.",CY,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",CY,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",CZ,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",CZ,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",CZ,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",CZ,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",DE,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",DE,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",DE,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",DE,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",DK,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",DK,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",DK,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",DK,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",EE,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",EE,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",ES,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",ES,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",ES,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",ES,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",FI,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",FI,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",FI,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",FI,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",FR,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",FR,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",FR,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",FR,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",GB,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",GB,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",GB,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",GB,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",GR,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",GR,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",HK,HK 40066004,HK40066004,False
"B1 Institute of Image Technology, INC.",HK,HK 40066005,HK40066005,False
"B1 Institute of Image Technology, INC.",HK,HK 40066006,HK40066006,False
"B1 Institute of Image Technology, INC.",HK,HK 40066007,HK40066007,False
"B1 Institute of Image Technology, INC.",HK,HK 40071040,HK40071040,False
"B1 Institute of Image Technology, INC.",HK,HK 40071404,HK40071404,False
"B1 Institute of Image Technology, INC.",HK,HK 40072997,HK40072997,False
"B1 Institute of Image Technology, INC.",HK,HK 40072998,HK40072998,False
"B1 Institute of Image Technology, INC.",HK,HK 40073014,HK40073014,False
"B1 Institute of Image Technology, INC.",HK,HK 40073015,HK40073015,False
"B1 Institute of Image Technology, INC.",HK,HK 40073016,HK40073016,False
"B1 Institute of Image Technology, INC.",HK,HK 40073017,HK40073017,False
"B1 Institute of Image Technology, INC.",HK,HK 40074073,HK40074073,False
"B1 Institute of Image Technology, INC.",HK,HK 40074506,HK40074506,False
"B1 Institute of Image Technology, INC.",HK,HK 40074507,HK40074507,False
"B1 Institute of Image Technology, INC.",HK,HK 40076522,HK40076522,False
"B1 Institute of Image Technology, INC.",HK,HK 40076523,HK40076523,False
"B1 Institute of Image Technology, INC.",HK,HK 40076524,HK40076524,False
"B1 Institute of Image Technology, INC.",HK,HK 40089889,HK40089889,False
"B1 Institute of Image Technology, INC.",HK,HK 40089890,HK40089890,False
"B1 Institute of Image Technology, INC.",HK,HK 40089891,HK40089891,False
"B1 Institute of Image Technology, INC.",HK,HK 40090142,HK40090142,False
"B1 Institute of Image Technology, INC.",HR,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",HR,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",HU,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",HU,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",HU,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",HU,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",IE,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",IE,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",IE,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",IE,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",IN,IN 429172,IN429172,False
"B1 Institute of Image Technology, INC.",IN,IN 433633,IN433633,False
"B1 Institute of Image Technology, INC.",IN,IN 433634,IN433634,False
"B1 Institute of Image Technology, INC.",IN,IN 433635,IN433635,False
"B1 Institute of Image Technology, INC.",IN,IN 433636,IN433636,False
"B1 Institute of Image Technology, INC.",IN,IN 463635,IN463635,False
"B1 Institute of Image Technology, INC.",IN,IN 463733,IN463733,False
"B1 Institute of Image Technology, INC.",IN,IN 463753,IN463753,False
"B1 Institute of Image Technology, INC.",IN,IN 463845,IN463845,False
"B1 Institute of Image Technology, INC.",IN,IN 463864,IN463864,False
"B1 Institute of Image Technology, INC.",IN,IN 463887,IN463887,False
"B1 Institute of Image Technology, INC.",IN,IN 489440,IN489440,False
"B1 Institute of Image Technology, INC.",IS,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",IS,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",IT,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",IT,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",IT,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",IT,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,201,776",JP7201776,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,269,455",JP7269455,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,269,456",JP7269456,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,269,457",JP7269457,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,353,521",JP7353521,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,353,522",JP7353522,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,353,523",JP7353523,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,354,398",JP7354398,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,413,596",JP7413596,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,540,109",JP7540109,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,540,110",JP7540110,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,540,111",JP7540111,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,612,920",JP7612920,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,612,921",JP7612921,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,743,584",JP7743584,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,751,041",JP7751041,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,751,042",JP7751042,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,751,043",JP7751043,False
"B1 Institute of Image Technology, INC.",JP,"JP 7,751,044",JP7751044,False
"B1 Institute of Image Technology, INC.",KR,"KR 2,224,668",KR2224668,False
"B1 Institute of Image Technology, INC.",KR,"KR 2,801,971",KR2801971,False
"B1 Institute of Image Technology, INC.",KR,"KR 2,840,288",KR2840288,False
"B1 Institute of Image Technology, INC.",KR,"KR 2,840,289",KR2840289,False
"B1 Institute of Image Technology, INC.",KR,"KR 2,840,290",KR2840290,False
"B1 Institute of Image Technology, INC.",KR,"KR 2,846,902",KR2846902,False
"B1 Institute of Image Technology, INC.",LI,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",LI,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",LI,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",LI,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",LT,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",LT,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",LU,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",LU,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",LU,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",LU,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",LV,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",LV,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",MC,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",MC,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",MK,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",MK,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",MT,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",MT,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",NL,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",NL,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",NL,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",NL,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",NO,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",NO,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",NO,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",NO,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",PL,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",PL,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",PL,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",PL,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",PT,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",PT,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",PT,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",PT,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",RO,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",RO,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",RS,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",RS,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",SE,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",SE,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",SE,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",SE,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",SI,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",SI,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",SK,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",SK,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",SM,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",SM,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",TR,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",TR,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",TR,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",TR,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",US,"US 11,165,958",US11165958,False
"B1 Institute of Image Technology, INC.",US,"US 11,412,137",US11412137,False
"B1 Institute of Image Technology, INC.",US,"US 11,431,902",US11431902,False
"B1 Institute of Image Technology, INC.",US,"US 11,438,506",US11438506,False
"B1 Institute of Image Technology, INC.",US,"US 11,463,672",US11463672,False
"B1 Institute of Image Technology, INC.",US,"US 11,470,251",US11470251,False
"B1 Institute of Image Technology, INC.",US,"US 11,528,414",US11528414,False
"B1 Institute of Image Technology, INC.",US,"US 11,539,881",US11539881,False
"B1 Institute of Image Technology, INC.",US,"US 11,539,882",US11539882,False
"B1 Institute of Image Technology, INC.",US,"US 11,539,883",US11539883,False
"B1 Institute of Image Technology, INC.",US,"US 11,546,511",US11546511,False
"B1 Institute of Image Technology, INC.",US,"US 11,546,512",US11546512,False
"B1 Institute of Image Technology, INC.",US,"US 11,546,513",US11546513,False
"B1 Institute of Image Technology, INC.",US,"US 11,553,130",US11553130,False
"B1 Institute of Image Technology, INC.",US,"US 11,553,131",US11553131,False
"B1 Institute of Image Technology, INC.",US,"US 11,553,168",US11553168,False
"B1 Institute of Image Technology, INC.",US,"US 11,601,677",US11601677,False
"B1 Institute of Image Technology, INC.",US,"US 11,606,499",US11606499,False
"B1 Institute of Image Technology, INC.",US,"US 11,677,926",US11677926,False
"B1 Institute of Image Technology, INC.",US,"US 11,696,035",US11696035,False
"B1 Institute of Image Technology, INC.",US,"US 11,706,531",US11706531,False
"B1 Institute of Image Technology, INC.",US,"US 11,758,189",US11758189,False
"B1 Institute of Image Technology, INC.",US,"US 11,758,190",US11758190,False
"B1 Institute of Image Technology, INC.",US,"US 11,758,191",US11758191,False
"B1 Institute of Image Technology, INC.",US,"US 11,778,158",US11778158,False
"B1 Institute of Image Technology, INC.",US,"US 11,778,331",US11778331,False
"B1 Institute of Image Technology, INC.",US,"US 11,778,332",US11778332,False
"B1 Institute of Image Technology, INC.",US,"US 11,792,522",US11792522,False
"B1 Institute of Image Technology, INC.",US,"US 11,792,523",US11792523,False
"B1 Institute of Image Technology, INC.",US,"US 11,792,524",US11792524,False
"B1 Institute of Image Technology, INC.",US,"US 11,792,525",US11792525,False
"B1 Institute of Image Technology, INC.",US,"US 11,792,526",US11792526,False
"B1 Institute of Image Technology, INC.",US,"US 11,812,155",US11812155,False
"B1 Institute of Image Technology, INC.",US,"US 11,818,396",US11818396,False
"B1 Institute of Image Technology, INC.",US,"US 11,831,914",US11831914,False
"B1 Institute of Image Technology, INC.",US,"US 11,831,915",US11831915,False
"B1 Institute of Image Technology, INC.",US,"US 11,831,916",US11831916,False
"B1 Institute of Image Technology, INC.",US,"US 11,831,917",US11831917,False
"B1 Institute of Image Technology, INC.",US,"US 11,838,639",US11838639,False
"B1 Institute of Image Technology, INC.",US,"US 11,838,640",US11838640,False
"B1 Institute of Image Technology, INC.",US,"US 11,843,866",US11843866,False
"B1 Institute of Image Technology, INC.",US,"US 11,863,732",US11863732,False
"B1 Institute of Image Technology, INC.",US,"US 11,936,841",US11936841,False
"B1 Institute of Image Technology, INC.",US,"US 11,949,846",US11949846,False
"B1 Institute of Image Technology, INC.",US,"US 11,949,913",US11949913,False
"B1 Institute of Image Technology, INC.",US,"US 11,962,744",US11962744,False
"B1 Institute of Image Technology, INC.",US,"US 11,991,339",US11991339,False
"B1 Institute of Image Technology, INC.",US,"US 11,997,391",US11997391,False
"B1 Institute of Image Technology, INC.",US,"US 12,108,017",US12108017,False
"B1 Institute of Image Technology, INC.",US,"US 12,126,786",US12126786,False
"B1 Institute of Image Technology, INC.",US,"US 12,126,787",US12126787,False
"B1 Institute of Image Technology, INC.",US,"US 12,126,912",US12126912,False
"B1 Institute of Image Technology, INC.",US,"US 12,132,880",US12132880,False
"B1 Institute of Image Technology, INC.",US,"US 12,137,289",US12137289,False
"B1 Institute of Image Technology, INC.",US,"US 12,149,672",US12149672,False
"B1 Institute of Image Technology, INC.",US,"US 12,167,037",US12167037,False
"B1 Institute of Image Technology, INC.",US,"US 12,177,482",US12177482,False
"B1 Institute of Image Technology, INC.",US,"US 12,206,829",US12206829,False
"B1 Institute of Image Technology, INC.",US,"US 12,219,263",US12219263,False
"B1 Institute of Image Technology, INC.",US,"US 12,225,231",US12225231,False
"B1 Institute of Image Technology, INC.",US,"US 12,225,232",US12225232,False
"B1 Institute of Image Technology, INC.",US,"US 12,231,774",US12231774,False
"B1 Institute of Image Technology, INC.",US,"US 12,231,775",US12231775,False
"B1 Institute of Image Technology, INC.",US,"US 12,238,423",US12238423,False
"B1 Institute of Image Technology, INC.",US,"US 12,244,930",US12244930,False
"B1 Institute of Image Technology, INC.",US,"US 12,250,406",US12250406,False
"B1 Institute of Image Technology, INC.",US,"US 12,483,794",US12483794,False
"B1 Institute of Image Technology, INC.",US,"US 12,489,979",US12489979,False
"B1 Institute of Image Technology, INC.",US,"US 12,501,167",US12501167,False
"B1 Institute of Image Technology, INC.",US,"US 12,513,405",US12513405,False
"B1 Institute of Image Technology, INC.",US,"US 12,520,046",US12520046,False
"B1 Institute of Image Technology, INC.",VN,VN 1-2019-02282,VN1-2019-02282,False
"B1 Institute of Image Technology, INC.",VN,VN 1-2021-07208,VN1-2021-07208,False
"B1 Institute of Image Technology, INC.",VN,VN 1-2022-00255,VN1-2022-00255,False
"B1 Institute of Image Technology, INC.",VN,VN 1-2022-00257,VN1-2022-00257,False
"B1 Institute of Image Technology, INC.",VN,VN 1-2022-00262,VN1-2022-00262,False
"B1 Institute of Image Technology, INC.",VN,VN 1-2022-00263,VN1-2022-00263,False
"B1 Institute of Image Technology, INC.",VN,VN 1-2022-01418,VN1-2022-01418,False
"B1 Institute of Image Technology, INC.",VN,VN 1-2022-01419,VN1-2022-01419,False
"B1 Institute of Image Technology, INC.",VN,VN 1-2022-01422,VN1-2022-01422,False
"B1 Institute of Image Technology, INC.",VN,VN 1-2022-01423,VN1-2022-01423,False
"B1 Institute of Image Technology, INC.",VN,VN 41821,VN41821,False
"B1 Institute of Image Technology, INC.",VN,VN 41822,VN41822,False
"B1 Institute of Image Technology, INC.",VN,VN 41823,VN41823,False
"B1 Institute of Image Technology, INC.",VN,VN 41824,VN41824,False
"B1 Institute of Image Technology, INC.",VN,VN 42191,VN42191,False
"B1 Institute of Image Technology, INC.",VN,VN 42194,VN42194,False
"B1 Institute of Image Technology, INC.",VN,VN 44404,VN44404,False
"B1 Institute of Image Technology, INC.",VN,VN 44405,VN44405,False
"B1 Institute of Image Technology, INC.",VN,VN 44406,VN44406,False
"B1 Institute of Image Technology, INC.",VN,VN 44407,VN44407,False
"B1 Institute of Image Technology, INC.",VN,VN 44408,VN44408,False
Cisco Systems Canada Co.,US,"US 7,400,681",US7400681,False
"Cisco Technology, Inc.",US,"US 7,684,489",US7684489,False
Dolby International AB,AT,"EP 2,512,136",EP2512136,False
Dolby International AB,AT,"EP 2,887,671",EP2887671,False
Dolby International AB,AT,"EP 3,399,756",EP3399756,False
Dolby International AB,AT,"EP 3,758,380",EP3758380,False
Dolby International AB,AT,"EP 3,758,381",EP3758381,False
Dolby International AB,AT,"EP 3,836,550",EP3836550,False
Dolby International AB,AT,"EP 3,920,538",EP3920538,False
Dolby International AB,AU,AU 2008239653,AU2008239653,False
Dolby International AB,AU,AU 2008241568,AU2008241568,False
Dolby International AB,AU,AU 2012238296,AU2012238296,False
Dolby International AB,AU,AU 2012238297,AU2012238297,False
Dolby International AB,AU,AU 2012278382,AU2012278382,False
Dolby International AB,AU,AU 2015202314,AU2015202314,False
Dolby International AB,BE,"EP 2,512,136",EP2512136,False
Dolby International AB,BE,"EP 2,887,671",EP2887671,False
Dolby International AB,BE,"EP 3,399,756",EP3399756,False
Dolby International AB,BE,"EP 3,758,380",EP3758380,False
Dolby International AB,BE,"EP 3,758,381",EP3758381,False
Dolby International AB,BE,"EP 3,836,550",EP3836550,False
Dolby International AB,BE,"EP 3,920,538",EP3920538,False
Dolby International AB,BR,BR PI0304568-4,BRPI0304568-4,False
Dolby International AB,BR,BR PI-0408570-1,BRPI-0408570-1,False
Dolby International AB,BR,BR PI0410320-3,BRPI0410320-3,False
Dolby International AB,BR,BR PI0809510-8,BRPI0809510-8,False
Dolby International AB,BR,BR 122018004903-0,BR122018004903-0,False
Dolby International AB,BR,BR 122018004904-9,BR122018004904-9,False
Dolby International AB,BR,BR 122018004906-5,BR122018004906-5,False
Dolby International AB,CH,"EP 2,512,136",EP2512136,False
Dolby International AB,CH,"EP 2,887,671",EP2887671,False
Dolby International AB,CH,"EP 3,399,756",EP3399756,False
Dolby International AB,CH,"EP 3,758,380",EP3758380,False
Dolby International AB,CH,"EP 3,758,381",EP3758381,False
Dolby International AB,CH,"EP 3,836,550",EP3836550,False
Dolby International AB,CH,"EP 3,920,538",EP3920538,False
Dolby International AB,CN,CN 200880011698.X,CN200880011698.X,False
Dolby International AB,CZ,"EP 2,512,136",EP2512136,False
Dolby International AB,CZ,"EP 2,887,671",EP2887671,False
Dolby International AB,CZ,"EP 3,399,756",EP3399756,False
Dolby International AB,CZ,"EP 3,758,380",EP3758380,False
Dolby International AB,CZ,"EP 3,758,381",EP3758381,False
Dolby International AB,CZ,"EP 3,836,550",EP3836550,False
Dolby International AB,CZ,"EP 3,920,538",EP3920538,False
Dolby International AB,DE,"EP 2,512,135",EP2512135,False
Dolby International AB,DE,"EP 2,512,136",EP2512136,False
Dolby International AB,DE,"EP 2,887,671",EP2887671,False
Dolby International AB,DE,"EP 3,399,756",EP3399756,False
Dolby International AB,DE,"EP 3,758,380",EP3758380,False
Dolby International AB,DE,"EP 3,758,381",EP3758381,False
Dolby International AB,DE,"EP 3,836,550",EP3836550,False
Dolby International AB,DE,"EP 3,920,538",EP3920538,False
Dolby International AB,DK,"EP 2,512,136",EP2512136,False
Dolby International AB,DK,"EP 2,887,671",EP2887671,False
Dolby International AB,DK,"EP 3,399,756",EP3399756,False
Dolby International AB,DK,"EP 3,758,380",EP3758380,False
Dolby International AB,DK,"EP 3,758,381",EP3758381,False
Dolby International AB,DK,"EP 3,836,550",EP3836550,False
Dolby International AB,DK,"EP 3,920,538",EP3920538,False
Dolby International AB,EE,"EP 2,887,671",EP2887671,False
Dolby International AB,EE,"EP 3,399,756",EP3399756,False
Dolby International AB,EE,"EP 3,758,380",EP3758380,False
Dolby International AB,EE,"EP 3,758,381",EP3758381,False
Dolby International AB,EE,"EP 3,836,550",EP3836550,False
Dolby International AB,EE,"EP 3,920,538",EP3920538,False
Dolby International AB,ES,"EP 2,512,136",EP2512136,False
Dolby International AB,ES,"EP 2,887,671",EP2887671,False
Dolby International AB,ES,"EP 3,399,756",EP3399756,False
Dolby International AB,ES,"EP 3,758,380",EP3758380,False
Dolby International AB,ES,"EP 3,758,381",EP3758381,False
Dolby International AB,ES,"EP 3,836,550",EP3836550,False
Dolby International AB,ES,"EP 3,920,538",EP3920538,False
Dolby International AB,FI,"EP 2,512,136",EP2512136,False
Dolby International AB,FI,"EP 3,399,756",EP3399756,False
Dolby International AB,FI,"EP 3,758,380",EP3758380,False
Dolby International AB,FI,"EP 3,758,381",EP3758381,False
Dolby International AB,FI,"EP 3,836,550",EP3836550,False
Dolby International AB,FI,"EP 3,920,538",EP3920538,False
Dolby International AB,FR,"EP 2,512,135",EP2512135,False
Dolby International AB,FR,"EP 2,512,136",EP2512136,False
Dolby International AB,FR,"EP 2,887,671",EP2887671,False
